sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
0,0.004328271000304085,7064.92557328,230,0,1,none,-0.108154296875,-0.10986328125,-0.1090087890625,-0.0201416015625,4.64e-07,0.42958016231142243,0.4910888671875,0.1993251953125,0.0,0.5,0.16,0.039590820312500004,0.0,0.0,0.0,1
1,0.1014803629996095,7065.022734632,97392,0,1,none,-0.1085205078125,-0.111083984375,-0.10980224609375,-0.02001953125,4.64e-07,0.431884765625,0.493896484375,0.20039453125,0.0,0.5,0.16,0.0379853515625,0.0,0.0,0.0,1
2,0.20147292999990896,7065.122732968,197391,0,1,none,-0.108154296875,-0.109619140625,-0.10888671875,-0.0198974609375,4.64e-07,0.42878460061961204,0.49365234375,0.1989560546875,0.0,0.5,0.16,0.039596679687500004,0.0,0.0,0.0,1
3,0.30146928900012426,7065.222729304,297388,0,1,none,-0.107666015625,-0.10986328125,-0.1087646484375,-0.019775390625,4.64e-07,0.4302978515625,0.4991455078125,0.19965820312500002,0.0,0.5,0.16,0.040017578125,0.0,0.0,0.0,1
4,0.40147198399972694,7065.32273764,397397,0,1,none,-0.1083984375,-0.1097412109375,-0.10906982421875,-0.0203857421875,4.64e-07,0.42938232421875,0.4969482421875,0.19923339843750001,0.0,0.5,0.16,0.0394873046875,0.0,0.0,0.0,1
5,0.5014601350003431,7065.422735976,497396,0,1,none,-0.1075439453125,-0.1087646484375,-0.108154296875,-0.0201416015625,4.64e-07,0.42895928744612066,0.494873046875,0.199037109375,0.0,0.5,0.16,0.039531250000000004,0.0,0.0,0.0,1
6,0.601566719999937,7065.522734312,597395,0,1,none,-0.106201171875,-0.1097412109375,-0.10797119140625,-0.01953125,4.64e-07,0.42974432583512934,0.4876708984375,0.1994013671875,0.0,0.5,0.16,0.0392548828125,0.0,0.0,0.0,1
7,0.7014676759999929,7065.622738648,697400,0,1,none,-0.105712890625,-0.1099853515625,-0.10784912109375,-0.0194091796875,4.64e-07,0.4304893756734913,0.4937744140625,0.1997470703125,0.0,0.5,0.16,0.0395244140625,0.0,0.0,0.0,1
8,0.8014770970003156,7065.722741976,797404,0,1,none,-0.10546875,-0.1109619140625,-0.10821533203125,-0.0194091796875,4.56e-07,0.4360030324835526,0.4912109375,0.1988173828125,0.0,0.5,0.16,0.038109375,0.0,0.0,0.0,1
9,0.9014680560003399,7065.822740312,897403,0,1,none,-0.1048583984375,-0.1109619140625,-0.10791015625,-0.01953125,4.56e-07,0.4353905393366228,0.4903564453125,0.1985380859375,0.0,0.5,0.16,0.0382939453125,0.0,0.0,0.0,1
