sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
0,0.0040698659995541675,5533.753599336,284,0,1,none,-0.1080322265625,-0.109375,-0.10870361328125,-0.0103759765625,4.64e-07,0.4089944773706896,0.47216796875,0.1897734375,0.0,0.5,0.2,-0.0125703125,-0.000603515625,-7.6171875e-05,0.0,16
1,0.011466905999441224,5533.761045288,7730,0,1,none,-0.10693359375,-0.1090087890625,-0.10797119140625,-0.0086669921875,4.64e-07,0.4068224676724137,0.474609375,0.188765625,0.0,0.5,0.2,-0.0127958984375,-0.0006259765625,-0.000501953125,0.0,16
2,0.021441672000037215,5533.771034224,17719,0,1,none,-0.1029052734375,-0.1099853515625,-0.1064453125,-0.0087890625,4.56e-07,0.41289319490131576,0.4676513671875,0.188279296875,0.0,0.5,0.2,-0.0115087890625,-0.000572265625,-0.001076171875,0.0,16
3,0.031445247999727144,5533.78103216,27717,0,1,none,-0.1014404296875,-0.110107421875,-0.10577392578125,-0.0068359375,4.56e-07,0.4120922423245614,0.4671630859375,0.1879140625,0.0,0.5,0.2,-0.0112978515625,-0.0005546875000000001,-0.0016513671875,0.0,16
4,0.04144442500000878,5533.791033096,37718,0,1,none,-0.1041259765625,-0.1099853515625,-0.1070556640625,-0.00830078125,4.56e-07,0.41259765624999994,0.4669189453125,0.18814453125,0.0,0.5,0.2,-0.010862304687500001,-0.0005517578125000001,-0.0022314453125,0.0,16
5,0.051441943000099855,5533.801032032,47717,0,1,none,-0.104736328125,-0.1103515625,-0.1075439453125,-0.0079345703125,4.56e-07,0.4141717208059211,0.467529296875,0.1888623046875,0.0,0.5,0.2,-0.01188671875,-0.0005810546875,-0.0028056640625,0.0,16
6,0.06143479299953469,5533.811029968,57715,0,1,none,-0.10400390625,-0.110107421875,-0.1070556640625,-0.00732421875,4.56e-07,0.4138205009594298,0.4674072265625,0.1887021484375,0.0,0.5,0.2,-0.0105185546875,-0.0005703125,-0.00338671875,0.0,16
7,0.07144064499971137,5533.821030904,67716,0,1,none,-0.10791015625,-0.111328125,-0.109619140625,-0.010498046875,4.56e-07,0.4228986773574561,0.4765625,0.192841796875,0.0145263671875,0.5145263671875,0.2,-0.005984375,-0.000318359375,-0.003822265625,0.0,16
8,0.08144133199948556,5533.831032848,77718,0,1,none,-0.1063232421875,-0.111328125,-0.10882568359375,-0.009033203125,4.64e-07,0.41825708849676724,0.47705078125,0.1940712890625,0.0145263671875,0.5145263671875,0.2,-0.00639453125,-0.0003583984375,-0.004189453125,0.0,16
9,0.09143582900014735,5533.841032784,87718,0,1,none,-0.107421875,-0.1094970703125,-0.10845947265625,-0.0093994140625,4.64e-07,0.41727842133620685,0.4801025390625,0.1936171875,0.0145263671875,0.5145263671875,0.2,-0.0082236328125,-0.0004345703125,-0.0045576171875,0.0,16
10,0.10143890600011218,5533.85103172,97717,0,1,none,-0.102294921875,-0.1094970703125,-0.10589599609375,-0.0087890625,4.56e-07,0.4195492393092105,0.476806640625,0.191314453125,0.0145263671875,0.5145263671875,0.2,-0.0076669921875,-0.00039746093750000003,-0.004919921875,0.0,16
11,0.11143870700016123,5533.861030656,107716,0,1,none,-0.1009521484375,-0.110595703125,-0.10577392578125,-0.006591796875,4.56e-07,0.41865191543311403,0.4739990234375,0.1909052734375,0.0145263671875,0.5145263671875,0.2,-0.0079619140625,-0.0003779296875,-0.0052900390625,0.0,16
12,0.12143313500018849,5533.871030592,117716,0,1,none,-0.1029052734375,-0.1109619140625,-0.10693359375,-0.0081787109375,4.56e-07,0.4207356770833333,0.4776611328125,0.19185546875,0.0145263671875,0.5145263671875,0.2,-0.0074521484375,-0.000376953125,-0.0056591796875,0.0,16
13,0.13144359299985808,5533.881031528,127717,0,1,none,-0.1046142578125,-0.110107421875,-0.10736083984375,-0.0091552734375,4.56e-07,0.42187499999999994,0.4788818359375,0.192375,0.0145263671875,0.5145263671875,0.2,-0.0066796875,-0.0003486328125,-0.0060263671875,0.0,16
14,0.14143408200015983,5533.891028464,137714,0,1,none,-0.1070556640625,-0.1104736328125,-0.1087646484375,-0.0103759765625,4.56e-07,0.42309141995614036,0.483642578125,0.1929296875,0.0145263671875,0.5145263671875,0.2,-0.008271484375,-0.00041015625,-0.0063984375000000005,0.0,16
15,0.15143901600004028,5533.9010344,147720,0,1,none,-0.1063232421875,-0.10888671875,-0.10760498046875,-0.0093994140625,4.56e-07,0.42181289405153505,0.480224609375,0.1923466796875,0.0145263671875,0.5145263671875,0.2,-0.0076279296875,-0.0004091796875,-0.006765625,0.0,16
16,0.16144585499932873,5533.911031336,157717,0,1,none,-0.106201171875,-0.1112060546875,-0.10870361328125,-0.009033203125,4.56e-07,0.42408083196271923,0.48388671875,0.193380859375,0.0145263671875,0.5145263671875,0.2,-0.0066669921875,-0.000322265625,-0.0071376953125,0.0,16
17,0.17144509199988534,5533.921035272,167721,0,1,none,-0.1077880859375,-0.1107177734375,-0.1092529296875,-0.010009765625,4.56e-07,0.4317626953125,0.4925537109375,0.1968837890625,0.0267333984375,0.5267333984375,0.2,-0.003708984375,-0.00027929687500000003,-0.0073828125000000005,0.0,16
18,0.18143661099929886,5533.931033216,177719,0,1,none,-0.1080322265625,-0.111083984375,-0.10955810546875,-0.0101318359375,4.64e-07,0.42543187634698276,0.4892578125,0.197400390625,0.0267333984375,0.5267333984375,0.2,-0.004873046875,-0.00023046875000000001,-0.00756640625,0.0,16
19,0.19144632699953945,5533.941034152,187720,0,1,none,-0.1085205078125,-0.110595703125,-0.10955810546875,-0.0098876953125,4.64e-07,0.4260801117995689,0.48681640625,0.197701171875,0.0267333984375,0.5267333984375,0.2,-0.0040263671875,-0.00021875,-0.00775390625,0.0,16
20,0.2014356219997353,5533.951031088,197717,0,1,none,-0.1043701171875,-0.1102294921875,-0.1072998046875,-0.009521484375,4.56e-07,0.42834258497807015,0.4805908203125,0.19532421875,0.0267333984375,0.5267333984375,0.2,-0.0049951171875,-0.000251953125,-0.007939453125,0.0,16
21,0.2114436249994469,5533.961033024,207719,0,1,none,-0.1031494140625,-0.1092529296875,-0.106201171875,-0.0081787109375,4.56e-07,0.42950974849232454,0.484130859375,0.19585644531250002,0.0267333984375,0.5267333984375,0.2,-0.0039414062500000005,-0.00020019531250000002,-0.0081240234375,0.0,16
22,0.22143631299968547,5533.97102496,217711,0,1,none,-0.1048583984375,-0.110107421875,-0.10748291015625,-0.0091552734375,4.56e-07,0.43076471696820173,0.486328125,0.1964287109375,0.0267333984375,0.5267333984375,0.2,-0.0040302734375,-0.0002158203125,-0.0083076171875,0.0,16
23,0.2314525940000749,5533.981037896,227724,0,1,none,-0.105712890625,-0.110595703125,-0.108154296875,-0.0091552734375,4.56e-07,0.4297753049616228,0.48095703125,0.1959775390625,0.0267333984375,0.5267333984375,0.2,-0.004419921875,-0.0001533203125,-0.008486328125,0.0,16
24,0.24143581999942398,5533.991034832,237721,0,1,none,-0.105712890625,-0.1094970703125,-0.10760498046875,-0.0093994140625,4.56e-07,0.4309510348135965,0.489501953125,0.19651367187500002,0.0267333984375,0.5267333984375,0.2,-0.00281640625,-0.0001494140625,-0.008671875,0.0,16
25,0.25144860499949573,5534.001035768,247722,0,1,none,-0.1075439453125,-0.1103515625,-0.10894775390625,-0.0101318359375,4.56e-07,0.429479766310307,0.48486328125,0.1958427734375,0.0267333984375,0.5267333984375,0.2,-0.00313671875,-0.0001884765625,-0.00885546875,0.0,16
26,0.26144602699969255,5534.011035712,257722,0,1,none,-0.106689453125,-0.1104736328125,-0.10858154296875,-0.0093994140625,4.64e-07,0.4251519564924568,0.4857177734375,0.1972705078125,0.0267333984375,0.5267333984375,0.2,-0.00225390625,-0.0001064453125,-0.0090380859375,0.0,16
27,0.2714459299995724,5534.021036648,267723,0,1,none,-0.1090087890625,-0.111328125,-0.11016845703125,-0.0106201171875,4.64e-07,0.42940547548491376,0.4981689453125,0.199244140625,0.03271484375,0.53271484375,0.2,-0.0022685546875,-0.00010546875,-0.00916015625,0.0,16
28,0.2814459179999176,5534.031034584,277721,0,1,none,-0.10693359375,-0.109619140625,-0.1082763671875,-0.0086669921875,4.64e-07,0.42590542497306033,0.486572265625,0.1976201171875,0.03271484375,0.53271484375,0.2,-0.00311328125,-0.00014062500000000002,-0.0092490234375,0.0,16
29,0.2914360199993098,5534.04103552,287722,0,1,none,-0.103759765625,-0.1103515625,-0.1070556640625,-0.0098876953125,4.56e-07,0.4339942262883772,0.4903564453125,0.1979013671875,0.03271484375,0.53271484375,0.2,-0.0027080078125,-0.0001318359375,-0.00934375,0.0,16
30,0.3014362889998665,5534.051032456,297719,0,1,none,-0.1046142578125,-0.111572265625,-0.10809326171875,-0.009521484375,4.56e-07,0.43318899054276316,0.4913330078125,0.1975341796875,0.03271484375,0.53271484375,0.2,-0.0015439453125,-8.59375e-05,-0.009435546875,0.0,16
31,0.3114467549994515,5534.061035392,307722,0,1,none,-0.1055908203125,-0.1109619140625,-0.1082763671875,-0.0103759765625,4.56e-07,0.43273069147478066,0.4888916015625,0.1973251953125,0.03271484375,0.53271484375,0.2,-0.001716796875,-8.88671875e-05,-0.009521484375,0.0,16
32,0.3214404390000709,5534.071035328,317722,0,1,none,-0.1053466796875,-0.112060546875,-0.10870361328125,-0.0089111328125,4.56e-07,0.4348701343201754,0.489013671875,0.19830078125,0.03271484375,0.53271484375,0.2,-0.0010634765625,-7.51953125e-05,-0.0096123046875,0.0,16
33,0.3314376609996543,5534.081033264,327720,0,1,none,-0.1063232421875,-0.111572265625,-0.10894775390625,-0.009521484375,4.56e-07,0.43438399465460525,0.495361328125,0.1980791015625,0.03271484375,0.53271484375,0.2,-0.00172265625,-6.933593750000001e-05,-0.009698242187500001,0.0,16
34,0.34143927399964014,5534.0910342,337721,0,1,none,-0.10693359375,-0.111572265625,-0.1092529296875,-0.0091552734375,4.56e-07,0.4342490748355263,0.4927978515625,0.198017578125,0.03271484375,0.53271484375,0.2,-0.0006328125,0.0,-0.0097900390625,0.0,16
35,0.35144350599966856,5534.101038144,347725,0,1,none,-0.1080322265625,-0.1104736328125,-0.1092529296875,-0.01025390625,4.64e-07,0.4277596309267241,0.4957275390625,0.19848046875,0.03271484375,0.53271484375,0.2,-0.0006435546875,-0.000154296875,-0.0098779296875,0.0,16
36,0.36143642800016096,5534.11103508,357722,0,1,none,-0.10888671875,-0.1092529296875,-0.10906982421875,-0.010498046875,4.64e-07,0.4291550208782327,0.4932861328125,0.1991279296875,0.03271484375,0.53271484375,0.2,-0.00175390625,-0.0001201171875,-0.009960937500000001,0.0,16
37,0.3714367120001043,5534.121033016,367720,0,1,none,-0.1097412109375,-0.1116943359375,-0.1107177734375,-0.01123046875,4.64e-07,0.43169113685344823,0.494384765625,0.2003046875,0.035400390625,0.535400390625,0.2,-0.0014814453125000001,-6.54296875e-05,-0.010021484375,0.0,16
38,0.38144449699939287,5534.131034952,377722,0,1,none,-0.1044921875,-0.1082763671875,-0.10638427734375,-0.0101318359375,4.56e-07,0.4347737630208333,0.4952392578125,0.19825683593750001,0.035400390625,0.535400390625,0.2,-0.0009755859375,-4.00390625e-05,-0.01006640625,0.0,16
39,0.39144064099946263,5534.141033888,387721,0,1,none,-0.1058349609375,-0.110107421875,-0.10797119140625,-0.0108642578125,4.56e-07,0.4352556195175439,0.49169921875,0.1984765625,0.035400390625,0.535400390625,0.2,-0.001388671875,-9.86328125e-05,-0.0101181640625,0.0,16
40,0.40143427699968015,5534.151032824,397720,0,1,none,-0.1043701171875,-0.11083984375,-0.10760498046875,-0.0084228515625,4.56e-07,0.436048005756579,0.4920654296875,0.198837890625,0.035400390625,0.535400390625,0.2,-0.0003935546875,0.0,-0.010166015625,0.0,16
41,0.4114420189998782,5534.16103676,407724,0,1,none,-0.1063232421875,-0.110595703125,-0.10845947265625,-0.01025390625,4.56e-07,0.4371059484649123,0.4969482421875,0.1993203125,0.035400390625,0.535400390625,0.2,7.91015625e-05,0.0,-0.0102099609375,0.0,16
42,0.4214373260001594,5534.171034696,417722,0,1,none,-0.1060791015625,-0.1092529296875,-0.107666015625,-0.0093994140625,4.56e-07,0.4363028543037281,0.494384765625,0.1989541015625,0.035400390625,0.535400390625,0.2,0.0002666015625,4.296875e-05,-0.0102578125,0.0,16
43,0.43144854599995597,5534.181034632,427722,0,1,none,-0.107421875,-0.11083984375,-0.109130859375,-0.0098876953125,4.56e-07,0.43544407894736836,0.4974365234375,0.1985625,0.035400390625,0.535400390625,0.2,-0.0007255859375,0.0,-0.0102998046875,0.0,3
44,0.441436400999919,5534.191033576,437721,0,1,none,-0.109130859375,-0.1114501953125,-0.11029052734375,-0.0118408203125,4.64e-07,0.4319247541756466,0.5009765625,0.2004130859375,0.035400390625,0.535400390625,0.2,0.000720703125,0.0,-0.0103447265625,0.0,3
45,0.4514469449995886,5534.201039512,447727,0,1,none,-0.108642578125,-0.109375,-0.1090087890625,-0.0106201171875,4.64e-07,0.43031679350754304,0.503173828125,0.1996669921875,0.035400390625,0.535400390625,0.2,-0.0014638671875,-0.0001103515625,-0.0103896484375,0.0,16
46,0.4614419099998486,5534.211029448,457717,0,1,none,-0.1016845703125,-0.1102294921875,-0.10595703125,-0.0081787109375,4.56e-07,0.43527917694627194,0.4892578125,0.1984873046875,0.035400390625,0.535400390625,0.2,-0.0009355468750000001,-5.17578125e-05,-0.010431640625,0.0,16
47,0.4714482270001099,5534.221039384,467727,0,1,none,-0.1046142578125,-0.11083984375,-0.10772705078125,-0.010498046875,4.56e-07,0.4352684690241228,0.4918212890625,0.198482421875,0.0367431640625,0.5367431640625,0.2,-0.0008203125,-6.4453125e-05,-0.0104638671875,0.0,16
